               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11047,            0.039797,            0.078772,          0.00070119,            0.040079,          0.00049707,          0.00019085,            0.075744,             0.02376,             0.06425,            0.070508,           0.0032768,           0.0032768
                   1,            0.088829,            0.042256,            0.070931,           0.0023723,             0.29008,           0.0035089,          0.00084756,            0.067589,            0.020611,            0.059813,            0.040378,           0.0064793,           0.0064793
                   2,            0.084272,            0.045346,            0.067107,             0.80594,            0.022156,            0.015815,           0.0053157,            0.063237,            0.021776,            0.056897,            0.010115,           0.0095497,           0.0095497
                   3,            0.080857,            0.040434,            0.065518,             0.86149,           0.0079365,            0.027221,           0.0060219,            0.063958,            0.016832,            0.053941,            0.009406,            0.009406,            0.009406
                   4,            0.076899,             0.03587,            0.062329,             0.71969,            0.044974,            0.028543,            0.010931,            0.062204,             0.01617,            0.052306,            0.009406,            0.009406,            0.009406
                   5,            0.072639,            0.039815,            0.061271,             0.76534,            0.073599,            0.065567,            0.016269,            0.061145,            0.016018,             0.05084,            0.009208,            0.009208,            0.009208
                   6,            0.072769,            0.034307,            0.060513,             0.60911,             0.13287,            0.065662,            0.029887,             0.05165,            0.015904,            0.050156,             0.00901,             0.00901,             0.00901
                   7,            0.066067,            0.036829,            0.059068,             0.61112,             0.11276,            0.071659,            0.027128,            0.051047,            0.015886,             0.04971,            0.008812,            0.008812,            0.008812
                   8,            0.063477,             0.03771,            0.059046,             0.58829,             0.15132,            0.092071,            0.025462,            0.052132,             0.01513,            0.048911,            0.008614,            0.008614,            0.008614
                   9,            0.062082,            0.036491,            0.055108,             0.76054,             0.10955,            0.091313,            0.037758,            0.049832,             0.01601,            0.048255,            0.008416,            0.008416,            0.008416
                  10,            0.057235,             0.03355,            0.055999,              0.7528,              0.1207,            0.074313,            0.033891,            0.050555,            0.015654,            0.047887,            0.008218,            0.008218,            0.008218
                  11,            0.057911,            0.035094,             0.05516,             0.61578,             0.11794,            0.083281,            0.034706,            0.047198,            0.016212,            0.047659,             0.00802,             0.00802,             0.00802
                  12,            0.054395,            0.034078,            0.052695,             0.68109,             0.12864,            0.088011,            0.043376,            0.049603,            0.014791,            0.046055,            0.007822,            0.007822,            0.007822
                  13,            0.054925,            0.036789,            0.052971,             0.77629,             0.10461,             0.10021,            0.046495,            0.049274,            0.015289,            0.045888,            0.007624,            0.007624,            0.007624
                  14,            0.054991,            0.032791,            0.052718,             0.80065,             0.13902,             0.11866,            0.063076,            0.047464,            0.015569,            0.045243,            0.007426,            0.007426,            0.007426
                  15,            0.052051,             0.03346,             0.05335,             0.77877,             0.15749,             0.11727,            0.057709,            0.045882,             0.01568,            0.044578,            0.007228,            0.007228,            0.007228
                  16,            0.049804,            0.031502,            0.051201,             0.78099,             0.15188,             0.11291,            0.059979,            0.045235,            0.014633,            0.043558,             0.00703,             0.00703,             0.00703
